שם יישוב,סמל היישוב,"צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר","סה""כ  אוכלוסייה בסוף השנה",יהודים ואחרים (אחוזים),"יהודים 
(אחוזים מתוך יהודים ואחרים)",ערבים (אחוזים),מוסלמים (אחוזים מתוך האוכלוסייה הערבית),נוצרים (אחוזים מתוך האוכלוסייה הערבית),דרוזים (אחוזים מתוך האוכלוסייה הערבית),"סה""כ גברים בסוף השנה","סה""כ נשים בסוף השנה",אחוז באוכלוסייה בסוף השנה בני 4-0,אחוז באוכלוסייה בסוף השנה בני 9-5,אחוז באוכלוסייה בסוף השנה בני 14-10,אחוז באוכלוסייה בסוף השנה בני 19-15,אחוז באוכלוסייה בסוף השנה בני 29-20,אחוז באוכלוסייה בסוף השנה בני 44-30,אחוז באוכלוסייה בסוף השנה בני 59-45,אחוז באוכלוסייה בסוף השנה בני 64-60,אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,אחוז באוכלוסייה בסוף השנה בני 17-0,אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,"יחס תלות (ל-1,000 תושבים בלתי תלויים)",לידות חי,שיעור פריון כולל,פטירות תינוקות (ממוצע),"שיעור פטירות תינוקות ל-1,000 לידות חי",פטירות,"שיעור פטירות מתוקנן ל-1,000 תושבים","ריבוי טבעי
סה""כ","ריבוי טבעי  ל-1,000 תושבים",אחוז גידול האוכלוסייה לעומת השנה הקודמת,אחוז עולי 1990+ מסך האוכלוסייה,השתקעות ראשונה של עולים,אחוז עולים בהשתקעות ראשונה בני 17-0,אחוז עולים בהשתקעות ראשונה בני 44-18,אחוז עולים בהשתקעות ראשונה בני 64-45,אחוז עולים בהשתקעות ראשונה בני 65 ומעלה,"מאזן הגירה ביישוב
סה""כ",מאזן הגירה פנימית,"נכנסים מיישובים אחרים סה""כ",נכנסים מיישובים אחרים גברים,נכנסים מיישובים אחרים נשים,נכנסים מיישובים אחרים עד גיל 14,נכנסים מיישובים אחרים גיל 29-15,נכנסים מיישובים אחרים גיל 64-30,נכנסים מיישובים אחרים גיל 65 ומעלה,"יוצאים ליישובים אחרים סה""כ",יוצאים ליישובים אחרים גברים,יוצאים ליישובים אחרים נשים,יוצאים ליישובים אחרים עד גיל 14,יוצאים ליישובים אחרים גיל 29-15,יוצאים ליישובים אחרים גיל 64-30,יוצאים ליישובים אחרים גיל 65 ומעלה,הגירה בתוך הרשות המקומית,"נישאים סה""כ גברים ונשים","נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה","מתגרשים סה""כ גברים ונשים","מתגרשים שיעור ל-1,000 תושבים נשואים בני 15 ומעלה",אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) סך מוסדות דיור משותף ברשות,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) סך דיירי דיור משותף ברשות,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים בבתי אבות ובדיור מוגן,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות חינוך,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות דת,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות אשפוז כולל הוסטלים,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות אחרים
קריית גת,"2,630","3,822.10","60,582",99.90,93.40,-,-,-,-,"29,972","30,610",11.83,10.19,7.76,6.49,14.41,18.79,12.93,4.95,12.65,33.71,4.77,958,"1,432",3.42,3.80,( 2.8),421,5.83,"1,011",16.98,3.59,22.22,75,29.33,36,29.33,5.33,"1,105","1,032","2,804","1,398","1,406","1,037",761,904,102,"1,772",886,886,616,458,628,70,"3,732",469,25.40,215,9.50,13,"1,286",0.48,-,0.83,0.29,0.60
קריית טבעון,"2,300","2,021.90","18,519",99.40,97,-,-,-,-,"8,905","9,615",5.53,7.03,8.06,7.74,10.95,16.06,18.90,5.38,20.36,25.34,9.21,950,169,1.81,0.20,  ..,111,3.81,58,3.15,1.13,6.59,45,13.33,73.33,8.89,4.44,183,154,765,367,398,242,91,384,48,611,295,316,111,198,258,44,537,56,7.60,54,7.60,11,"1,023",2.40,1.40,-,1.53,0.26
קריית ים,"9,600","3,869.80","39,441",99.80,81.90,-,-,-,-,"18,823","20,618",5.32,6.15,5.91,5.21,10.74,18.61,17.49,6.58,24.00,20.54,10.05,872,417,1.86,1.40,( 3.0),477,5.77,-60,-1.52,-0.04,38.15,227,23.35,39.65,24.23,12.78,-138,-329,"1,758",889,869,346,427,771,214,"2,087","1,001","1,086",478,434,984,191,"1,499",168,10.50,180,10.80,9,970,1.18,0.07,-,0.80,0.42
קריית יערים,"1,137","12,874.20","6,471",100,99.70,-,-,-,-,"3,393","3,078",18.61,14.94,11.79,10.48,16.54,16.30,5.84,2.04,3.46,51.69,1.16,"1,456",288,..,1,( 4.0),9,4.45,279,43.91,3.73,10.15,17,29.41,58.82,0,11.76,-67,-79,239,134,105,93,92,46,8,318,175,143,160,106,48,4,263,90,77,16,7.30,6,596,-,0.51,7.76,-,1.28
קריית מוצקין,"8,200","12,141.30","46,565",99.90,89.20,-,-,-,-,"21,997","24,568",7.65,6.97,6.18,5.45,10.54,20.38,16.10,5.39,21.35,24.08,8.93,908,704,2.34,1,( 1.5),449,5.25,255,5.54,2.42,23.57,144,33.33,34.03,21.53,11.11,836,673,"2,769","1,329","1,440",593,598,"1,272",306,"2,096","1,045","1,051",463,470,976,187,"2,071",236,14.60,218,11.30,4,775,1.35,0.29,-,0.07,-
קריית מלאכי,"1,034","5,464","25,022",99.70,98.30,-,-,-,-,"12,636","12,386",12.11,10.80,8.45,6.09,16.03,19.36,12.05,4.76,10.35,35.21,3.59,916,654,3.69,2.20,( 3.6),139,5.89,515,20.85,2.62,14.16,23,26.09,39.13,30.43,4.35,122,98,903,490,413,329,270,276,28,805,402,403,298,200,277,30,"1,298",253,33,85,9.40,5,282,-,-,0.66,0.15,0.34
קריית עקרון,469,"4,737.60","11,051",99.30,96.70,-,-,-,-,"5,443","5,608",8.53,8.22,6.88,6.60,14.16,18.74,16.77,5.24,14.87,27.66,5.67,821,200,2.74,0.60,  ..,75,5.04,125,11.30,-0.23,11.35,3,0,100,0,0,-168,-180,261,120,141,78,64,105,14,441,223,218,149,94,174,24,243,78,19.30,40,9.20,2,63,0.28,0.29,-,-,-
קריית שמונה,"2,800","1,552.90","22,336",96.60,92.30,-,-,-,-,"11,142","11,194",7.20,6.59,7.24,6.79,16.39,17.62,16.99,6.46,14.71,24.89,5.24,740,322,2.19,0.40,  ..,164,5.80,158,7.07,-0.12,14.02,19,31.58,36.84,26.32,5.26,-164,-175,686,353,333,131,270,257,28,861,443,418,244,225,359,33,"1,068",183,20.30,101,11.80,4,410,-,0.93,0.78,-,0.13
קרני שומרון,"3,640",..,"9,663",99.90,96.80,-,-,-,-,"4,882","4,780",13.30,12.09,9.54,6.92,15.10,19.67,10.17,4.43,8.77,39.09,2.44,"1,025",256,..,0.20,  ..,31,4.71,225,23.59,2.61,11.86,27,22.22,25.93,29.63,22.22,17,-13,382,204,178,126,124,122,10,395,209,186,117,116,141,21,298,91,38.80,44,11.80,4,329,-,0.10,3.37,0.03,-
ראמה,543,"1,199.90","7,789",-,-,99.80,18.70,49.80,31.50,"3,916","3,874",7.16,7.72,7.04,7.66,16.99,20.00,17.51,4.46,11.48,26.11,4.87,696,103,..,0.20,  ..,45,5.21,58,7.44,-0.04,0.04,..,..,..,..,..,-57,-59,86,25,61,13,39,30,4,145,50,95,45,44,55,1,1,79,30.90,11,3.20,-,-,-,-,-,-,-
ראש העין,"2,640","4,516.90","71,651",99.90,96.80,-,-,-,-,"35,913","35,738",12.30,10.32,7.23,5.69,12.36,23.51,15.29,4.59,8.70,33.27,2.92,793,"1,711",3.19,2.60,( 2.0),240,4.40,"1,471",21.12,5.96,7.68,46,36.96,26.09,15.22,21.74,"2,555","2,481","4,700","2,378","2,322","1,455",878,"2,155",212,"2,219","1,098","1,121",634,615,873,97,"2,963",462,24,286,10.70,9,654,-,-,0.27,0.67,0.03
ראש פינה,26,..,"3,237",98.40,97.40,-,-,-,-,"1,599","1,638",7.38,7.85,8.40,7.07,12.97,16.93,17.61,5.10,16.68,27.96,4.79,901,47,..,   -,   -,16,..,31,9.61,0.61,4.51,..,..,..,..,..,-1,-7,185,81,104,59,40,77,9,192,95,97,56,47,83,6,103,18,14.90,7,5.80,..,..,..,..,..,..,..
ראשון לציון,"8,300","4,339","257,128",99.90,90.70,-,-,-,-,"126,075","131,054",6.94,6.85,6.35,6.36,12.77,18.79,17.90,5.52,18.52,23.87,7.21,819,"3,580",2.23,5.60, 1.5,"1,746",4.36,"1,834",7.15,0.42,19.59,556,26.98,33.99,24.28,14.75,"-1,038","-1,553","7,232","3,636","3,596","1,572","1,825","3,306",529,"8,785","4,389","4,396","2,288","2,063","3,828",606,"12,815","1,368",14.70,957,8.70,26,"3,146",0.37,0.10,0.42,0.25,0.08
רהט,"1,161","2,356.60","76,237",-,-,99.80,100,-,-,"38,166","38,071",16.41,13.83,11.97,11.42,19.31,15.05,8.53,1.26,2.22,48.96,0.78,"1,265","2,385",4.09,20, 8.7,154,5.85,"2,231",29.75,3.35,0.04,0,0,0,0,0,64,17,370,145,225,119,158,89,4,353,149,204,151,117,83,2,"1,363","1,080",55.80,191,8.50,..,..,..,..,..,..,..
רחובות,"8,400","6,224.20","147,878",99.70,94.30,-,-,-,-,"72,294","75,583",9.18,9.67,8.45,6.36,10.82,20.15,15.36,4.08,15.93,31.30,6.74,984,"2,654",2.87,6.60, 2.5,891,4.39,"1,763",11.99,1.22,15.66,314,27.71,27.71,30.25,14.33,-140,-496,"4,358","2,177","2,181","1,119","1,033","1,903",303,"4,853","2,468","2,385","1,480","1,096","2,010",267,"7,413",826,18.10,483,8.10,19,"1,265",0.30,0.22,0.16,0.14,0.04
ריינה,542,"1,776.90","19,265",-,-,99.80,85.30,14.70,-,"9,838","9,427",8.96,9.03,9.23,9.60,18.65,18.34,15.89,3.99,6.30,32.63,2.09,758,294,1.98,1.40,( 4.7),71,5.47,223,11.61,0.65,0.06,0,0,0,0,0,-104,-108,156,51,105,33,70,49,4,264,102,162,66,104,93,1,7,206,36.20,25,3.10,..,..,..,..,..,..,..
רכסים,922,"4,149.30","13,736",100,99.80,-,-,-,-,"7,151","6,585",17.54,14.93,11.29,10.53,16.29,14.90,8.05,2.05,4.42,49.56,1.50,"1,422",502,5.68,2.60,( 5.5),35,4.82,467,34.59,3.55,2.17,3,0,66.67,33.33,0,18,17,472,252,220,202,185,74,11,455,258,197,179,178,85,13,926,200,72.90,29,6.40,7,806,-,1.25,4.82,-,-
רמלה,"8,500","6,487.80","77,798",75.40,93.10,24.60,80.70,19.10,0.10,"39,507","38,291",9.48,9.11,7.97,6.90,13.96,19.84,15.33,4.73,12.67,30.67,4.93,857,"1,545",3.04,3.80,( 2.4),514,5.57,"1,031",13.32,1.05,18.04,157,29.30,49.04,14.65,7.01,-315,-494,"1,995",980,"1,015",649,472,778,96,"2,489","1,233","1,256",870,539,936,144,"2,830",630,24.60,256,8.30,16,"1,963",0.32,-,0.04,0.29,1.90
רמת גן,"8,600","10,351.10","169,706",99.40,93.30,-,-,-,-,"81,808","87,898",7.00,6.28,5.61,5.04,13.21,24.01,16.88,4.61,17.37,21.95,8.40,704,"2,486",1.86,2.80,( 1.2),"1,243",4.52,"1,243",7.37,1.28,13.09,403,16.38,38.46,25.31,19.85,809,505,"10,089","5,173","4,916","1,469","3,494","4,634",492,"9,584","4,772","4,812","2,142","2,120","4,776",546,"8,125","1,093",15.40,629,10,18,"2,657",0.60,0.57,0.08,0.33,0.01
רמת השרון,"2,650","2,880.90","47,970",99.90,98.20,-,-,-,-,"23,006","24,964",6.51,8.09,8.93,7.86,9.00,16.63,19.44,4.29,19.25,28.44,9.18,"1,026",585,2.44,0.80,  ..,318,3.69,267,5.59,0.96,5.67,78,35.90,37.18,11.54,15.38,107,7,"1,780",890,890,471,277,867,165,"1,773",899,874,402,468,750,153,"2,111",153,9.30,145,7.40,11,"1,165",0.78,1.23,0.07,0.35,0.03
רמת ישי,122,"3,460.40","8,071",99.90,97,-,-,-,-,"3,984","4,087",7.10,8.60,8.41,7.87,12.13,17.59,17.46,5.81,15.03,28.76,3.80,887,80,..,   -,   -,14,2.90,66,8.27,2.19,5.24,4,25,50,25,0,138,122,422,204,218,143,59,185,35,300,159,141,57,101,130,12,325,22,8.70,38,11.10,-,-,-,-,-,-,-
רעננה,"8,700","5,289","78,562",99.90,97.10,-,-,-,-,"38,262","40,300",7.08,7.73,7.73,7.42,11.65,16.00,18.03,5.03,19.33,27.18,8.03,972,"1,123",2.80,1.60,( 1.6),439,3.79,684,8.83,3.00,21.43,878,29.38,31.55,19.48,19.59,"1,562",505,"3,628","1,787","1,841","1,039",666,"1,629",294,"3,123","1,539","1,584",643,997,"1,228",255,"4,640",411,16.10,244,7.30,13,"1,777",0.57,0.29,0.01,1.16,0.30
שבלי - אום אל-גנם,913,"1,989","6,279",-,-,99.90,100,-,-,"3,174","3,105",9.52,9.35,10.78,10.59,17.07,17.49,16.21,2.90,6.07,35.74,2.17,863,124,..,0.20,  ..,23,5.73,101,16.25,2.08,0.03,0,0,0,0,0,26,26,91,34,57,22,39,28,2,65,19,46,17,26,21,1,26,58,32.30,12,4.90,-,-,-,-,-,-,-
שגב-שלום,"1,286",877.30,"11,865",-,-,99.90,100,-,-,"5,978","5,887",16.81,14.00,12.17,12.20,18.87,14.27,8.26,1.37,2.05,50.18,0.58,"1,338",400,4.72,3.60,( 9.4),29,7.05,371,31.94,4.41,0.01,0,0,0,0,0,112,109,190,104,86,83,61,44,2,79,35,44,37,29,13,0,133,192,61.30,31,9.80,-,-,-,-,-,-,-
שדרות,"1,031","2,867.10","30,553",99.30,93.90,-,-,-,-,"15,803","14,749",11.80,9.46,6.92,5.47,17.72,21.03,13.48,4.43,9.70,31.01,3.62,765,819,3.54,2.40,( 3.3),179,6.03,640,21.47,5.09,21.51,21,23.81,38.10,4.76,33.33,895,876,"1,853",991,862,437,717,645,54,977,483,494,307,294,352,24,"1,949",403,40.90,129,12,8,761,-,-,1.96,0.28,0.37
שוהם,"1,304","2,984.40","21,441",100,99,-,-,-,-,"10,597","10,844",5.47,6.68,8.62,10.56,16.89,12.48,24.62,6.16,8.51,27.11,2.90,662,223,2.24,   -,   -,39,3.12,184,8.67,2.03,4.61,6,16.67,83.33,0,0,221,208,905,441,464,338,114,402,51,697,343,354,103,347,229,18,758,118,16.10,69,7.50,-,-,-,-,-,-,-
שלומי,812,"1,204.70","7,055",98.60,91.90,-,-,-,-,"3,579","3,476",7.36,8.12,8.41,7.29,13.34,18.41,19.83,5.24,11.99,28.35,4.65,759,117,..,0.40,  ..,42,4.43,75,10.86,4.45,16.31,6,33.33,33.33,33.33,0,258,258,568,285,283,149,130,267,22,310,150,160,80,76,138,16,235,35,14.60,27,10.30,..,..,..,..,..,..,..
שעב,538,"1,371.10","7,381",-,-,100,100,-,-,"3,707","3,674",9.78,9.81,8.17,9.44,19.01,19.52,16.68,2.91,4.69,33.14,1.73,721,159,..,0.60,  ..,31,6.67,128,17.52,2.11,0,..,..,..,..,..,21,17,89,30,59,27,35,27,0,72,20,52,25,26,21,0,1,72,33.30,15,5,-,-,-,-,-,-,-
שפרעם,"8,800","2,186.40","43,023",-,-,99.70,61.60,24.60,13.80,"21,643","21,379",7.81,7.90,8.19,9.70,18.19,18.74,17.76,4.05,7.64,29.54,2.99,702,619,1.93,1.40,( 2.2),171,5.40,448,10.48,1.21,0.17,..,..,..,..,..,62,56,407,154,253,131,132,138,6,351,129,222,80,142,125,4,14,415,30.10,88,4.90,6,277,0.27,-,-,0.36,0.02
תל אביב -יפו,"5,000","9,034.30","467,875",95.20,94.30,4.80,83.30,15.70,0.90,"232,582","235,293",7.04,6.11,5.18,4.32,14.10,27.97,15.66,4.22,15.39,20.95,6.98,614,"8,221",1.94,10.60, 1.3,"3,304",5.10,"4,917",10.56,0.88,14.37,"3,305",15.98,47.02,21.42,15.58,221,"-2,896","20,878","10,738","10,140","1,623","10,517","7,741",997,"23,772","12,040","11,732","5,307","4,523","12,633","1,309","35,065","3,439",15.30,"1,684",11,58,"6,933",0.55,0.47,0.14,0.26,0.07
תל מונד,154,"1,988.60","14,179",100,98.50,-,-,-,-,"7,114","7,065",6.78,9.32,10.11,9.58,13.17,15.80,22.38,3.85,9.00,32.11,2.87,812,146,2.16,   -,   -,23,3.61,123,8.89,5.09,8.04,38,31.58,21.05,18.42,28.95,548,477,960,469,491,398,76,438,48,483,266,217,69,188,196,30,338,44,10.10,42,7.60,-,-,-,-,-,-,-
תל שבע,"1,054","2,355.10","22,187",-,-,99.80,100,-,-,"11,075","11,112",17.06,14.65,12.80,12.48,18.34,13.92,7.56,1.22,1.98,51.80,0.60,"1,437",764,4.61,7.80,10.50,54,7.18,710,32.46,2.94,0.01,0,0,0,0,0,-98,-110,81,36,45,29,37,15,0,191,82,109,71,77,43,0,163,369,67.30,67,10.90,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
