שם יישוב,סמל היישוב,"צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר","סה""כ  אוכלוסייה בסוף השנה",יהודים ואחרים (אחוזים),"יהודים 
(אחוזים מתוך יהודים ואחרים)",ערבים (אחוזים),מוסלמים (אחוזים מתוך האוכלוסייה הערבית),נוצרים (אחוזים מתוך האוכלוסייה הערבית),דרוזים (אחוזים מתוך האוכלוסייה הערבית),"סה""כ גברים בסוף השנה","סה""כ נשים בסוף השנה",אחוז באוכלוסייה בסוף השנה בני 4-0,אחוז באוכלוסייה בסוף השנה בני 9-5,אחוז באוכלוסייה בסוף השנה בני 14-10,אחוז באוכלוסייה בסוף השנה בני 19-15,אחוז באוכלוסייה בסוף השנה בני 29-20,אחוז באוכלוסייה בסוף השנה בני 44-30,אחוז באוכלוסייה בסוף השנה בני 59-45,אחוז באוכלוסייה בסוף השנה בני 64-60,אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,אחוז באוכלוסייה בסוף השנה בני 17-0,אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,"יחס תלות (ל-1,000 תושבים בלתי תלויים)",לידות חי,שיעור פריון כולל,פטירות תינוקות (ממוצע),"שיעור פטירות תינוקות ל-1,000 לידות חי",פטירות,"שיעור פטירות מתוקנן ל-1,000 תושבים","ריבוי טבעי
סה""כ","ריבוי טבעי  ל-1,000 תושבים",אחוז גידול האוכלוסייה לעומת השנה הקודמת,אחוז עולי 1990+ מסך האוכלוסייה,השתקעות ראשונה של עולים,אחוז עולים בהשתקעות ראשונה בני 17-0,אחוז עולים בהשתקעות ראשונה בני 44-18,אחוז עולים בהשתקעות ראשונה בני 64-45,אחוז עולים בהשתקעות ראשונה בני 65 ומעלה,"מאזן הגירה ביישוב
סה""כ",מאזן הגירה פנימית,"נכנסים מיישובים אחרים סה""כ",נכנסים מיישובים אחרים גברים,נכנסים מיישובים אחרים נשים,נכנסים מיישובים אחרים עד גיל 14,נכנסים מיישובים אחרים גיל 29-15,נכנסים מיישובים אחרים גיל 64-30,נכנסים מיישובים אחרים גיל 65 ומעלה,"יוצאים ליישובים אחרים סה""כ",יוצאים ליישובים אחרים גברים,יוצאים ליישובים אחרים נשים,יוצאים ליישובים אחרים עד גיל 14,יוצאים ליישובים אחרים גיל 29-15,יוצאים ליישובים אחרים גיל 64-30,יוצאים ליישובים אחרים גיל 65 ומעלה,הגירה בתוך הרשות המקומית,"נישאים סה""כ גברים ונשים","נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה","מתגרשים סה""כ גברים ונשים","מתגרשים שיעור ל-1,000 תושבים נשואים בני 15 ומעלה"
מעלה אדומים,"3,616",..,"38,046.08",99.70,96.30,-,-,-,-,"18,519","19,527",8.30,8.40,8.50,9.60,15.45,16.05,16.33,5.10,12.20,31,4.70,887,617,2.62,0.80,  ..,164,3.89,453,11.98,1.31,14.90,256,19.92,36.33,23.83,19.92,-535,-795,822,399,423,224,240,281,77,"1,618",800,818,454,451,631,82,"1,705",404,32.30,146,9.60
מעלה אפרים,"3,608",..,"1,376.98",99.60,91.50,-,-,-,-,722,655,12.40,12,9.90,8.10,14.52,17.65,10.17,4.70,10.50,37,2.70,"1,122",47,..,0.20,  ..,7,..,40,29.69,4.51,14.50,..,..,..,..,..,26,20,114,65,49,52,29,27,..,91,57,34,38,13,30,10,23,13,27.40,..,. .
מעלה עירון,"1,327","2,541.80","15,860.84",-,-,100,100,-,-,"8,058","7,803",9.60,8.90,9.10,9.80,20.26,17.56,16.12,3,5.50,33.20,1.70,755,308,2.30,1.60,( 5.1),48,6.52,260,16.51,1.40,-,-,-,-,-,-,-17,-26,137,49,88,44,68,25,-,163,59,104,63,66,34,-,86,231,52.10,22,3.30
מעלות-תרשיחא,"1,063","2,431.90","22,521.14",77.40,82.80,22.60,49,47.30,1.10,"11,312","11,209",7,7.50,7.90,6.70,13.80,17.85,18.08,5.80,15.40,26.30,6,802,319,2.36,0.80,  ..,174,5.67,145,6.47,0.93,28.80,133,28.57,34.59,24.06,12.78,71,-77,729,384,345,167,177,319,66,806,375,431,220,210,321,55,965,231,29.90,76,8.10
מצפה רמון,99,69.50,"5,263.02",95.90,91.80,4.10,94,0.90,5.10,"2,872","2,391",10.30,8.30,7.10,11.50,20.77,18.22,11.78,3.20,8.80,32.50,3.40,851,128,..,0.40,  ..,35,6.39,93,17.82,1.65,13.90,11,36.36,27.27,36.36,-,4,-8,345,176,169,64,168,105,..,353,172,181,76,123,121,33,247,60,25.90,16,10.50
משהד,520,"1,223.80","8,770.58",-,-,100,100,-,-,"4,556","4,214",10,10.60,9.40,9.60,18.66,20.01,13.26,3,5.40,35.60,1.80,820,181,..,0.60,  ..,32,7.44,149,17.10,1.33,-,-,-,-,-,-,-23,-26,46,16,30,..,24,15,-,72,24,48,25,27,20,-,-,110,42.30,17,5.10
נהרייה,"9,100","5,576.50","63,947.02",97.60,83.10,-,-,-,-,"31,045","32,902",6.70,7.20,7.10,6.40,11.56,18.16,18.73,5.60,18.50,24.80,7.50,849,809,2.19,1.80,( 2.1),505,5.35,304,4.87,5.17,27.60,"2,544",28.11,36.32,22.17,13.40,"2,970",300,"2,713","1,341","1,372",579,536,"1,285",313,"2,413","1,176","1,236",605,479,"1,116",213,"5,469",562,24.90,273,11.10
נוף הגליל,"1,061","1,345.20","44,184.02",67.70,76.30,32.30,38.50,61.30,0.10,"21,210","22,974",8.10,8.10,6.60,6,13.11,18.33,16.68,5.40,17.80,26.20,7.90,870,704,2.51,2,( 3.0),478,6.25,226,5.20,3.58,33.50,"1,773",26.06,32.94,23.69,17.32,"1,572",-262,"2,705","1,334","1,371","1,058",693,831,123,"2,966","1,389","1,577",737,609,"1,197",423,"2,127",371,22.80,182,10.60
נחף,522,"2,260.90","13,717.16",-,-,99.80,99.90,0.10,-,"6,939","6,778",9.80,10.10,9.50,10.70,18.57,19.71,14.41,2.70,4.60,35.80,1.60,807,253,2.33,1.40,( 5.1),38,6.59,215,15.77,1.17,-,..,-,-,-,-,-45,-48,59,13,46,..,41,10,-,107,37,70,32,48,26,..,-,209,52.30,25,4.70
נס ציונה,"7,200","3,211.30","50,340.88",99.90,98,-,-,-,-,"24,809","25,532",6.10,8.70,10,9,10.52,16.91,20.68,3.90,14.30,30.40,5.60,923,506,2.01,0.80,  ..,226,3.68,280,5.56,-0.23,6.70,92,23.91,32.61,20.65,22.83,-284,-349,"1,185",573,612,365,169,567,84,"1,534",759,775,428,405,630,71,"1,578",314,19.10,177,8.50
נצרת,"7,300","5,503.30","78,006.69",-,-,99.70,73.20,26.80,-,"38,918","39,088",7.70,8.20,8.20,8.50,17.61,18.81,16.89,4.50,9.50,29,3.80,731,"1,198",2,6.20, 5.0,373,5.65,825,10.58,0.10,0.10,321,25.55,32.09,20.25,22.12,-696,"-1,022",459,190,269,140,149,163,..,"1,481",637,844,403,407,587,84,480,876,34.20,188,5.70
נשר,"2,500","1,835.60","23,760.61",98.60,86.20,-,-,-,-,"11,471","12,289",6.10,6.10,6.10,5.70,12.90,19.35,17.62,6.30,19.90,21.70,8.40,780,269,1.76,0.20,  ..,188,4.55,81,3.41,0.00,29.30,265,28.30,36.60,19.62,15.47,-23,-311,931,454,477,162,252,417,100,"1,242",634,608,267,292,578,105,"1,099",219,23.10,118,11.80
נתיבות,246,"2,855","46,373.55",99.90,96.80,-,-,-,-,"23,193","23,181",14.80,12.50,10,7.30,16.38,18.97,10.82,2.90,6.30,41.60,2.30,"1,036","1,390",4.22,4.20, 3.4,162,5.40,"1,228",27.78,10.31,9.90,68,25,36.76,17.65,20.59,"3,132","3,034","4,303","2,207","2,096","1,549","1,305","1,314",135,"1,269",657,612,448,367,410,44,"3,970",726,68.60,139,9.20
נתניה,"7,400","7,526","233,103.69",99.70,88.30,-,-,-,-,"113,570","119,534",7.70,8.10,7.60,6.50,11.66,18.49,16.31,4.90,18.80,27.30,8.50,947,"3,375",2.48,6.40, 1.8,"1,838",4.82,"1,537",6.72,4.03,31,"7,886",26.07,37.33,24.52,12.07,"7,428",-246,"7,380","3,672","3,707","1,635","1,522","3,393",830,"7,625","3,787","3,838","2,158","1,744","3,108",615,"15,491","2,187",27.90,898,9.80
סאג'ור,525,..,"4,480.82",-,-,100,-,-,99.90,"2,328","2,152",8.70,7.20,8.60,8.40,18.75,23.81,15.84,3.20,5.60,29.20,1.80,622,74,..,0.20,  ..,10,(4.9),64,14.37,1.26,-,-,-,-,-,-,-1,-1,28,..,21,..,11,13,..,29,10,19,..,14,..,-,-,72,55.70,12,6
סביון,587,..,"4,053.85",99.90,98.10,-,-,-,-,"2,025","2,029",4.40,6.60,8.40,9.50,14.16,9.89,21.34,6.50,19.20,25.10,9.20,928,29,..,-,   -,27,(4.2),2,0.49,0.06,6.70,..,..,..,..,..,-1,9,248,133,115,76,53,111,..,239,118,121,38,98,89,14,96,18,12.60,16,9
סח'נין,"7,500","2,878.70","33,187.57",-,-,99.90,95,5,-,"17,017","16,170",8.70,9.70,9.50,8.90,17.04,20.57,16.59,3.30,5.70,33.10,2.10,739,553,2.10,2,( 3.4),109,5.17,444,13.47,1.36,-,-,-,-,-,-,39,42,222,58,164,60,90,70,..,180,53,127,54,79,46,..,13,454,50.50,58,4.10
ע'ג'ר,"4,501",..,"2,805.63",-,-,99.90,99.80,0.10,0.10,"1,424","1,382",9.40,10.20,9.50,10.30,17.78,22.81,13.04,2.70,4.20,35.20,1.40,774,62,..,0.40,  ..,3,(5.4),59,21.26,2.20,-,-,-,-,-,-,-6,-6,..,-,..,-,..,-,-,..,..,..,..,..,..,-,12,34,46.40,..,. .
עומר,666,423.20,"7,710.10",97.90,97.70,-,-,-,-,"3,789","3,921",4.80,7.60,9.50,9.20,12.30,13.14,18.37,4.60,20.40,27.80,9.90,"1,065",59,..,0.40,  ..,42,3.66,17,2.21,0.71,5.20,30,26.67,43.33,10,20,58,25,359,169,190,125,58,149,27,334,183,151,52,94,141,47,228,27,11.10,18,5.20
עיילבון,530,"1,030.40","5,798.95",-,-,99.50,29.50,70.40,-,"2,924","2,874",7.50,8.20,8,7.70,15.97,21.68,16.11,4.80,10.10,28.20,3.90,709,79,..,0.40,  ..,22,4.35,57,9.82,-0.22,0.20,-,-,-,-,-,-33,-34,50,19,31,13,17,19,..,84,38,46,26,32,26,-,..,67,38.60,14,5.30
עילוט,511,"2,845.50","8,863.03",-,-,100,100,-,-,"4,516","4,347",10.60,10.40,9.80,9.70,19.27,18.77,14.50,2.70,4.20,36.50,1.50,810,199,..,0.40,  ..,15,5.77,184,21.01,2.42,-,-,-,-,-,-,33,33,83,32,51,27,31,25,-,50,25,25,15,20,15,-,..,125,53.60,15,4.20
עין מאהל,532,"2,662.50","13,930.53",-,-,99.90,100,-,-,"7,074","6,856",9.30,9,8.90,9.10,20.04,18.30,16.09,3.60,5.70,32.30,1.70,725,267,2.45,1.20,( 4.5),46,5.49,221,15.97,1.33,0.10,-,-,-,-,-,-35,-39,58,20,38,20,20,17,..,97,41,56,35,24,37,..,..,221,54.60,14,2.40
עין קנייא,"4,502",..,"2,190.25",-,-,100,-,0.50,99.50,"1,132","1,058",8.10,7.70,9.60,8.40,15.62,21.23,18.40,3.70,7.30,30.20,2.30,696,35,..,0.40,  ..,7,(6.6),28,12.84,0.84,-,-,-,-,-,-,-5,-6,13,-,13,..,..,..,-,19,..,15,..,..,..,-,..,31,49.40,..,..
עכו,"7,600","3,470.60","51,419.56",67.60,83.60,32.40,91,8.30,0.60,"25,429","25,990",7.50,7.80,7.50,7.40,13.23,20.26,16.13,5.60,14.70,27.10,5.50,812,771,2.25,2.80,( 3.4),418,6.46,353,6.99,3.64,20.20,"1,554",27.67,44.27,20.46,7.59,"1,501",-53,"1,482",706,776,379,367,629,107,"1,535",775,760,422,331,679,103,"4,139",529,28.40,269,13.80
עמנואל,"3,660",..,"4,656.09",100,100,-,-,-,-,"2,328","2,329",20,16.80,10.80,6.90,17.46,14.24,7.26,2.80,4,51.70,0.90,"1,396",161,..,0.20,  ..,9,(7.5),152,33.67,6.49,3,..,-,-,-,-,168,165,382,209,173,169,168,39,..,216,106,110,83,84,41,..,374,72,94.40,19,12.70
עספיא,534,"1,525.80","12,896.05",-,-,98.10,9.40,13.70,76.70,"6,498","6,398",7.10,7.50,7.60,8,15.53,21.51,18.54,4.60,9.70,26.90,3.40,661,170,1.76,0.20,  ..,68,5.28,102,7.96,1.17,0.90,15,40,60,-,-,67,44,215,90,125,71,56,84,..,171,59,112,55,44,69,..,70,167,42,49,8.40
עפולה,"7,700","2,108.80","61,518.60",98.90,89.50,-,-,-,-,"29,964","31,555",10.90,8.90,7.10,6.20,13.80,18.93,14.30,4.90,15,30.70,5.60,927,"1,246",3,1.80,( 1.5),405,5.57,841,13.95,4.14,21.50,374,31.82,37.43,17.91,12.83,"1,708","1,296","3,450","1,719","1,731","1,019",927,"1,229",275,"2,154","1,107","1,047",698,509,834,113,"4,877",557,27.50,237,10.60
עראבה,531,"3,228.60","27,115.31",-,-,99.90,98.80,1.20,-,"13,664","13,452",9.40,9.80,10.10,10.40,18.43,18.85,14.70,3,5.30,35.50,1.80,820,524,2.47,1.40,( 2.8),72,5.49,452,16.82,1.78,-,-,-,-,-,-,53,51,194,48,146,59,79,55,..,143,45,98,44,50,49,-,44,373,49.10,57,5.30
ערד,"2,560",223.30,"28,169.55",96.10,83.80,-,-,-,-,"13,913","14,257",12.60,10.90,7.80,6.70,14.12,15.26,13.43,4.40,14.70,35.40,6.70,"1,117",793,4.59,2.20,( 3.0),204,5.66,589,21.13,2.13,26.90,639,26.13,37.40,22.38,14.08,45,-679,973,532,441,293,301,308,71,"1,652",828,824,528,368,585,171,"2,024",208,23.40,89,8.70
ערערה,637,"2,814.60","26,146.64",-,-,99.80,100,-,-,"13,252","12,895",9.40,8.50,10,10.20,17.42,18.36,16.08,3.50,6.50,33.80,2.60,807,378,1.95,2,( 5.3),74,4.39,304,11.70,1.25,0.10,-,-,-,-,-,22,12,194,60,134,72,77,42,..,182,50,132,55,85,41,..,57,281,35,40,3.90
ערערה-בנגב,"1,192","1,453","20,380.71",-,-,99.90,100,-,-,"10,212","10,169",17.20,13.90,13.20,11.90,19.03,14.45,7.32,1.10,1.90,51.20,0.60,"1,384",686,4.65,5.40, 8.0,37,6.35,649,32.40,3.55,-,-,-,-,-,-,-8,-22,116,45,71,35,57,24,-,138,57,81,58,56,24,-,91,285,52.90,45,8.50
פוריידיס,537,"3,382.30","13,721.70",-,-,99.90,99.90,0.10,-,"6,897","6,825",8.60,10,9.50,9.10,17.52,20.35,15.52,3.80,5.70,33.50,2,749,256,2.39,1,( 4.1),60,6.56,196,14.36,1.11,-,-,-,-,-,-,-23,-27,52,16,36,19,15,18,-,79,31,48,25,31,22,..,..,181,46.10,35,6.20
פסוטה,535,..,"3,254.78",-,-,99.70,0.20,99.80,-,"1,658","1,597",6.80,8.10,6,6.50,15.30,21.87,18.71,5.10,11.70,24.80,4.40,640,40,..,-,   -,15,(6.4),25,7.70,0.57,0.10,..,..,..,..,..,-8,-3,22,11,11,..,..,..,..,25,..,18,..,..,..,-,-,36,34.70,-,. .
פקיעין (בוקייעה),536,"1,079.50","6,104.23",-,-,100,1.10,21,77.90,"3,114","2,990",6.50,8,7.40,7.70,17.02,21.71,17.17,5,9.60,26.10,3.50,642,74,..,-,   -,20,5.15,54,8.90,1.31,-,-,-,-,-,-,32,30,59,22,37,16,19,23,..,29,12,17,..,11,14,-,..,52,31.50,14,4.70
פרדס חנה-כרכור,"7,800","1,983.90","44,839.63",99.90,97,-,-,-,-,"21,953","22,887",7.70,9.80,9.50,7.30,10.25,19.42,18.70,4.40,12.90,31.60,5.20,894,554,2.18,1,( 1.5),228,4.71,326,7.32,1.42,11.20,98,28.57,41.84,14.29,15.31,310,232,"1,936",932,"1,004",599,285,931,121,"1,704",826,878,500,373,731,100,"1,720",300,19.70,156,9.50
פרדסייה,171,"5,032.30","7,421.13",100,98.70,-,-,-,-,"3,759","3,662",8.40,9.80,8.20,6.80,10.85,20.31,17.02,5.60,13,30.70,3.20,860,102,..,-,   -,14,2.84,88,12.00,2.35,4.50,..,..,..,..,..,99,108,455,215,240,164,53,223,15,347,180,167,86,102,144,15,166,79,38.40,26,8.30
פתח תקווה,"7,900","7,139.10","255,387.31",99.80,91.30,-,-,-,-,"125,035","130,352",7.70,8.70,8.30,7.20,11.13,18.34,17.48,4.20,16.90,29.20,7.60,954,"3,884",2.64,8.20, 2.0,"1,751",4.70,"2,133",8.40,1.24,18.60,"1,670",26.47,36.17,22.99,14.37,823,"-1,121","7,416","3,683","3,733","1,856","1,891","2,990",679,"8,514","4,335","4,179","2,513","1,960","3,509",532,"11,849","2,120",25.30,"1,021",9.80
צפת,"8,000","1,270.20","38,029.46",97.90,93.20,-,-,-,-,"19,469","18,560",13.40,11.60,10.70,9.20,15.86,14.65,11.09,3.80,9.70,41,3.80,"1,204","1,067",4.53,2.20,( 2.1),193,5.61,874,23.15,1.49,14,195,27.18,35.90,22.05,14.87,-196,-702,"1,314",713,601,423,513,337,41,"2,017","1,014","1,003",644,658,595,120,"2,143",565,50.90,141,11.20
קדומים,"3,557",..,"4,547.76",100,99.50,-,-,-,-,"2,242","2,306",10.80,13.10,14.40,9.70,12.64,16.51,10.77,2.80,9.20,44.60,2.70,"1,339",107,..,0.20,  ..,11,(3.4),96,21.01,-0.92,5.30,..,..,..,..,..,-90,-96,148,84,64,54,44,48,..,244,129,115,90,78,70,..,75,65,62.40,11,6.30
קדימה-צורן,195,"2,141.30","23,220.25",99.90,97.90,-,-,-,-,"11,590","11,630",6.60,8.70,9.90,9.10,13.01,16.00,21.65,5.30,9.70,30.90,3.80,786,256,2.14,0.20,  ..,82,3.72,174,7.54,1.31,7.10,32,18.75,43.75,9.38,28.13,130,95,959,472,487,344,135,423,57,866,418,448,200,283,345,38,607,124,16.10,86,9.40
קלנסווה,638,"2,870.90","24,205.13",-,-,99.80,100,-,-,"12,379","11,826",10.70,10.30,10.30,10.10,18.54,18.15,14.01,3.20,4.80,37.20,1.60,857,478,2.58,1,( 2.0),78,6.39,400,16.64,1.37,0.10,-,-,-,-,-,-70,-92,179,69,110,85,45,48,..,271,111,160,137,60,74,-,38,408,58.70,89,9.70
קצרין,"4,100",723.30,"7,876.41",99.10,81.70,-,-,-,-,"3,850","4,027",7.20,8.10,8.60,7.10,13.36,17.17,16.90,5.60,16,27.70,6.20,886,112,..,0.60,  ..,59,5.33,53,6.85,3.56,30.80,92,22.83,39.13,29.35,8.70,200,107,493,251,242,136,114,206,37,386,193,193,88,97,162,39,490,72,26.20,42,14.10
קריית אונו,"2,620","9,390.60","43,240.72",99.90,96.90,-,-,-,-,"20,953","22,288",6.70,8.60,9.40,7.60,9.61,19.42,19.43,4,15.30,29.50,7.20,907,503,2.18,0.40,  ..,226,3.76,277,6.51,3.20,7.80,103,26.21,41.75,20.39,11.65,"1,020",918,"2,441","1,183","1,258",608,398,"1,189",246,"1,524",749,775,381,364,653,126,"1,859",248,18.30,136,7.90
קריית ארבע,"3,611",..,"7,489.87",100,97.70,-,-,-,-,"3,743","3,747",12.20,11.20,11.40,9.80,16.94,15.39,10.03,3.40,9.70,41.10,3.90,"1,188",207,..,0.80,  ..,41,5.17,166,22.15,-0.12,16.10,24,33.33,25,12.50,29.17,-133,-162,271,151,120,55,163,40,13,433,211,222,171,145,97,20,368,116,52.40,24,9.40
קריית אתא,"6,800","2,524.10","61,142.40",99.70,91.70,-,-,-,-,"29,926","31,216",7.70,8,7,6.30,12.31,19.19,16.53,5.50,17.50,26.40,7,867,894,2.30,1.60,( 1.7),443,5.31,451,7.44,1.73,16.90,249,28.92,42.57,18.88,9.64,676,366,"2,317","1,149","1,168",606,509,951,251,"1,949",967,982,505,494,792,158,"3,486",572,26.90,265,10.60
קריית ביאליק,"9,500","5,270.30","44,619.63",99.80,89.30,-,-,-,-,"21,454","23,166",7.30,7.70,6.70,5.40,10.75,20.69,16.29,4.90,20.20,25.10,8.70,898,587,2.08,0.60,  ..,365,5.09,222,5.05,3.13,22.60,284,26.41,37.32,23.94,12.32,"1,122",797,"2,862","1,368","1,494",734,559,"1,333",236,"2,065","1,019","1,046",447,439,936,243,"1,872",345,21.80,193,10.90
קריית גת,"2,630","4,065.30","64,437.13",99.80,93.40,-,-,-,-,"31,909","32,528",12.30,10.60,8.20,6.50,13.92,19.11,12.37,4.70,12.40,35,4.80,998,"1,538",3.52,3.60,( 2.5),368,5.75,"1,170",18.72,6.36,21.60,123,22.76,35.77,24.39,17.07,"2,752","2,567","4,602","2,331","2,271","2,083","1,080","1,293",146,"2,034","1,062",972,735,538,657,104,"4,798",712,37.60,233,10.10
קריית טבעון,"2,300","2,094.10","19,179.78",99.40,96.90,-,-,-,-,"9,210","9,970",5.90,6.80,8,7.80,10.90,16.44,19.06,5,20.10,25.40,9.40,946,159,1.57,0.20,  ..,138,3.75,21,1.11,3.57,6.80,74,17.57,70.27,9.46,2.70,656,572,"1,166",550,616,369,165,572,60,594,290,304,102,196,244,52,681,89,11.80,62,8.80
קריית ים,"9,600","4,032.10","41,094.88",99.80,79.80,-,-,-,-,"19,604","21,491",5.40,6.10,6,5.30,10.43,18.92,17.47,6.30,24,20.60,10.40,881,432,1.90,1.20,( 2.7),448,5.70,-16,-0.40,4.19,39.80,737,24.56,38.94,22.25,14.25,"1,851","1,014","2,923","1,442","1,481",650,484,"1,405",384,"1,909",961,948,438,410,861,200,"2,470",275,17,174,10.60
קריית יערים,"1,137","13,042.50","6,555.47",100,99.70,-,-,-,-,"3,440","3,116",18.30,15.40,12,10.50,15.56,16.61,6.01,2,3.60,52.50,1.30,"1,489",271,..,0.60,  ..,15,4.97,256,39.30,1.31,9.80,11,18.18,45.45,18.18,18.18,-143,-158,214,119,95,91,74,46,..,372,198,174,175,122,74,..,245,76,61.70,12,5.40
קריית מוצקין,"8,200","12,515.80","48,001.19",99.90,88.10,-,-,-,-,"22,707","25,295",7.20,7.30,6.30,5.50,10.38,20.37,16.32,5.10,21.50,24.10,9.40,915,673,2.21,1.20,( 1.8),459,5.28,214,4.53,3.09,25.10,465,25.59,39.14,23.23,12.04,"1,260",749,"3,237","1,568","1,669",672,630,"1,502",433,"2,488","1,211","1,277",628,518,"1,134",208,"2,113",340,20.20,200,10.20
קריית מלאכי,"1,034","5,613.10","25,704.56",99.50,98.30,-,-,-,-,"13,050","12,655",11.70,10.90,9,6.30,15.52,19.65,11.75,4.60,10.60,35.50,3.70,941,603,3.37,2,( 3.3),119,5.64,484,19.08,2.73,13.90,70,37.14,47.14,7.14,8.57,134,43,949,491,458,360,279,277,33,906,464,442,315,235,316,40,"1,378",363,46.30,103,11.20
קריית עקרון,469,"3,911.90","10,993.32",99.30,96.40,-,-,-,-,"5,374","5,620",7.80,8.30,7.30,6.50,14.05,18.61,16.92,5.30,15.20,27.30,5.80,821,157,2.14,0.40,  ..,69,4.82,88,7.98,-0.52,11.30,24,16.67,33.33,25,25,-133,-163,313,151,162,86,80,137,10,476,249,227,160,87,199,30,237,134,32.50,44,10.20
קריית שמונה,"2,800","1,563.90","22,492.47",96.70,92.30,-,-,-,-,"11,192","11,301",6.90,6.60,7,6.80,16.66,17.59,16.87,6.40,15.10,24.60,5.50,738,333,2.26,0.40,  ..,160,5.85,173,7.72,0.70,13.80,36,13.89,30.56,13.89,41.67,-33,-62,785,387,398,122,350,284,29,848,429,419,213,245,341,49,"1,280",280,30.70,94,11.10
קרני שומרון,"3,640",-,"9,920.39",99.90,96.80,-,-,-,-,"5,063","4,857",12.20,12.40,10.10,8.50,13.99,19.50,10.09,4.20,9.10,39.80,2.60,"1,093",236,..,0.40,  ..,37,4.87,199,20.32,2.67,11.60,17,17.65,35.29,41.18,5.88,-19,-32,416,208,208,154,123,129,10,447,217,230,171,136,119,21,327,134,56,38,9.90
ראמה,543,"1,201.30","7,798.25",-,-,99.80,18.80,49.80,31.40,"3,914","3,884",6.70,7.50,7.20,7.40,16.61,20.44,17.68,4.70,11.80,25.50,5,682,89,..,0.20,  ..,38,5.17,51,6.54,0.11,-,-,-,-,-,-,-39,-37,74,23,51,15,38,20,..,111,43,68,22,47,41,..,..,106,40.90,23,6.60
ראש העין,"2,640","4,647.90","73,678.33",99.90,96.70,-,-,-,-,"36,869","36,809",11.60,10.90,7.60,5.80,11.73,23.34,15.30,4.60,9.10,33.60,3,818,"1,495",2.74,2.60,( 1.8),268,4.45,"1,227",16.89,2.83,7.70,135,20,25.19,28.15,26.67,840,747,"3,273","1,609","1,664","1,000",634,"1,455",184,"2,523","1,304","1,219",785,592,"1,033",113,"2,508",630,30.80,317,11.10
ראש פינה,26,..,"3,308.43",98.30,97.40,-,-,-,-,"1,632","1,676",6.60,7.60,8.10,7.40,13.75,16.44,18.32,4.70,17.10,27,5.50,878,40,..,-,   -,14,(4.3),26,7.94,2.21,4.60,..,..,..,..,..,22,21,237,121,116,56,54,108,19,216,112,104,63,46,98,..,98,22,17.60,14,11.50
ראשון לציון,"8,300","4,395.10","260,453.26",99.90,90,-,-,-,-,"127,624","132,829",6.70,6.80,6.40,6.30,12.66,18.68,18.03,5.40,18.90,23.70,7.80,825,"3,419",2.14,4.80, 1.3,"1,811",4.33,"1,608",6.21,1.29,20.30,"2,054",26.10,39.73,19.72,14.46,"1,770",-489,"8,149","4,026","4,123","1,756","2,029","3,698",666,"8,637","4,379","4,258","2,144","1,884","3,941",668,"12,021","2,277",24,"1,080",9.80
רהט,"1,161","2,444","79,063.76",0.30,48.20,99.70,100,-,-,"39,629","39,434",16.40,13.90,11.90,11,19.38,15.16,8.64,1.30,2.30,48.70,0.80,"1,249","2,448",4.03,19.40, 8.3,128,5.80,"2,320",29.88,3.71,-,..,-,-,-,-,195,145,447,180,267,151,184,109,..,302,133,169,116,100,83,..,"1,208","1,198",59.80,176,7.60
רחובות,"8,400","6,345.10","150,748.38",99.70,93.90,-,-,-,-,"73,696","77,053",8.80,9.60,8.70,6.60,10.76,19.79,15.74,4,16.10,31.30,7.20,990,"2,473",2.68,5.20, 2.0,899,4.34,"1,574",10.54,1.94,16.10,"1,059",28.33,38.34,19.83,13.50,"1,311",234,"5,256","2,613","2,643","1,499","1,168","2,224",365,"5,022","2,512","2,510","1,527","1,116","2,071",308,"8,203","1,221",25.90,613,10.30
ריינה,542,"1,788","19,397.28",-,-,99.90,85.40,14.60,-,"9,901","9,496",8.70,8.90,9.30,9.20,18.58,18.53,15.88,4.10,6.80,32.20,2.20,752,260,1.74,1,( 3.4),54,5.02,206,10.66,0.69,-,-,-,-,-,-,-75,-80,155,48,107,50,61,43,..,235,96,139,67,84,84,-,14,206,35.50,37,4.50
רכסים,922,"4,288.70","14,197.70",100,99.80,-,-,-,-,"7,361","6,837",17.50,15.20,11.40,10.30,16.09,15.04,7.94,2,4.50,50,1.50,"1,433",518,5.71,2.20,( 4.5),21,4.51,497,35.58,3.36,2.20,..,..,..,..,..,-14,-19,437,241,196,180,177,70,10,456,252,204,174,163,99,20,735,199,69.10,28,5.90
רמלה,"8,500","5,911","79,132.06",75.20,92.70,24.80,81,18.90,-,"40,195","38,937",9.10,9.10,8,6.90,13.97,19.72,15.49,4.60,13.10,30.40,5.10,859,"1,442",2.83,4.20, 2.8,497,5.58,945,12.04,1.72,18.10,338,20.41,47.34,17.16,15.09,110,-250,"2,402","1,161","1,241",745,531,942,184,"2,652","1,337","1,315",954,541,"1,009",148,"3,613",916,35.20,271,8.80
